longitude,housing_median_age,<1H OCEAN,INLAND,NEAR BAY,NEAR OCEAN,Total_Rooms,Median_Income
-122.43,52.0,0,0,1,0,1410.0,3.1908
-122.35,42.0,0,0,1,0,1485.0,3.6094
-121.24,16.0,0,1,0,0,941.0,2.625
-118.35,34.0,1,0,0,0,4651.500000000011,1.9038
-118.39,38.0,1,0,0,0,1851.0,6.15921
-124.09,25.0,0,0,0,1,1322.0,1.9038
-121.36,26.0,0,1,0,0,1793.0,5.6485
-116.95,16.0,1,0,0,0,2921.0,2.2393
-118.46,19.0,1,0,0,0,4651.500000000011,2.585
-118.01,31.0,1,0,0,0,1960.0,4.0625
-117.17,52.0,0,0,0,1,1052.0,3.0726
-122.46,52.0,0,0,1,0,2401.0,6.15921
-118.21,14.0,1,0,0,0,2672.0,6.15921
-118.4,26.0,1,0,0,0,4651.500000000011,5.2276
-118.14,33.0,0,1,0,0,2815.0,4.2679
-120.0,33.0,0,1,0,0,1902.0,2.6852
-118.12,35.0,1,0,0,0,1835.0,2.7092
-121.47,14.0,0,1,0,0,1594.0,4.6625
-122.11,15.0,0,0,1,0,941.0,4.6591
-122.0,29.0,1,0,0,0,3429.0,6.15921
-117.66,20.0,0,1,0,0,2524.0,6.15921
-118.23,19.0,1,0,0,0,2294.0,3.0288
-122.42,52.0,0,0,1,0,1974.0,2.7173
-121.23,38.0,0,1,0,0,941.0,1.9038
-118.11,19.0,1,0,0,0,3203.0,4.0911
-121.63,28.0,0,1,0,0,1677.0,2.6823
-121.98,36.0,1,0,0,0,1054.0,4.5625
-120.61,17.0,1,0,0,0,2799.0,3.0536
-117.09,46.0,0,0,0,1,941.0,3.375
-121.01,16.0,0,1,0,0,2216.0,2.7316
-119.46,22.0,0,1,0,0,1750.0,1.9038
-117.91,32.0,1,0,0,0,2696.0,2.9479
-122.13,51.0,0,0,1,0,1262.0,2.1974
-120.98,36.0,0,1,0,0,1437.0,2.1779
-117.65,19.0,0,1,0,0,1688.0,3.6
-117.84,11.0,1,0,0,0,4651.500000000011,2.4132
-117.05,46.0,0,0,0,1,1887.0,3.25
-121.24,22.0,0,1,0,0,1526.0,2.4342
-117.16,34.0,0,0,0,1,1785.0,2.2687
-122.41,48.0,0,0,1,0,941.0,3.6687
-121.8,25.0,0,1,0,0,2202.0,2.8306
-119.04,25.0,0,1,0,0,1577.0,3.0625
-122.04,25.0,0,0,1,0,4458.0,3.9667
-115.57,15.0,0,1,0,0,1413.0,4.3021
-121.3,21.0,0,1,0,0,4651.500000000011,4.0739
-121.47,47.0,0,1,0,0,2085.0,1.9038
-122.08,35.0,0,0,1,0,941.0,4.0682
